workload,policy,workers,total_jobs,total_simulation_time,avg_waiting,avg_turnaround,throughput,utilization_percent,starvation_risk_jobs,log_file
a,fifo,2,20,60,21.55,27.20,0.333,94.17,14,logs/a_fifo_2.txt
a,fifo,4,20,32,7.60,13.25,0.625,88.28,7,logs/a_fifo_4.txt
a,fifo,8,20,20,1.40,7.05,1.000,70.62,0,logs/a_fifo_8.txt
a,sjf,2,20,58,18.95,24.60,0.345,97.41,12,logs/a_sjf_2.txt
a,sjf,4,20,32,6.65,12.30,0.625,88.28,5,logs/a_sjf_4.txt
a,sjf,8,20,21,1.30,6.95,0.952,67.26,0,logs/a_sjf_8.txt
a,priority,2,20,58,21.05,26.70,0.345,97.41,14,logs/a_priority_2.txt
a,priority,4,20,31,7.45,13.10,0.645,91.13,7,logs/a_priority_4.txt
a,priority,8,20,19,1.50,7.15,1.053,74.34,0,logs/a_priority_8.txt
b,fifo,2,20,32,5.55,8.65,0.625,96.88,5,logs/b_fifo_2.txt
b,fifo,4,20,26,0.60,3.70,0.769,59.62,0,logs/b_fifo_4.txt
b,fifo,8,20,25,0.00,3.10,0.800,31.00,0,logs/b_fifo_8.txt
b,sjf,2,20,34,3.30,6.40,0.588,91.18,5,logs/b_sjf_2.txt
b,sjf,4,20,26,0.50,3.60,0.769,59.62,0,logs/b_sjf_4.txt
b,sjf,8,20,25,0.00,3.10,0.800,31.00,0,logs/b_sjf_8.txt
b,priority,2,20,39,5.85,8.95,0.513,79.49,7,logs/b_priority_2.txt
b,priority,4,20,26,0.70,3.80,0.769,59.62,0,logs/b_priority_4.txt
b,priority,8,20,25,0.00,3.10,0.800,31.00,0,logs/b_priority_8.txt
c,fifo,2,20,53,13.20,18.00,0.377,90.57,13,logs/c_fifo_2.txt
c,fifo,4,20,29,1.85,6.65,0.690,82.76,0,logs/c_fifo_4.txt
c,fifo,8,20,27,0.00,4.80,0.741,44.44,0,logs/c_fifo_8.txt
c,sjf,2,20,52,10.85,15.65,0.385,92.31,8,logs/c_sjf_2.txt
c,sjf,4,20,31,1.70,6.50,0.645,77.42,0,logs/c_sjf_4.txt
c,sjf,8,20,27,0.00,4.80,0.741,44.44,0,logs/c_sjf_8.txt
c,priority,2,20,50,12.95,17.75,0.400,96.00,10,logs/c_priority_2.txt
c,priority,4,20,29,1.80,6.60,0.690,82.76,1,logs/c_priority_4.txt
c,priority,8,20,27,0.00,4.80,0.741,44.44,0,logs/c_priority_8.txt
