job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,A,0,4,2,resize
2,B,1,5,1,thumbnail
3,C,2,3,3,compress
4,D,3,6,2,policy_check
5,A,4,4,1,metadata_update
6,B,5,5,3,resize
7,C,6,4,2,thumbnail
8,D,7,3,1,compress
9,A,8,5,2,policy_check
10,B,9,4,3,metadata_update
11,C,10,6,1,resize
12,D,11,4,2,thumbnail
13,A,12,3,3,compress
14,B,13,5,1,policy_check
15,C,14,4,2,metadata_update
16,D,15,6,3,resize
17,A,16,3,1,thumbnail
18,B,17,5,2,compress
19,C,18,4,3,policy_check
20,D,19,4,1,metadata_update
21,A,20,5,2,resize
22,B,21,3,3,thumbnail
23,C,22,6,1,compress
24,D,23,4,2,policy_check
25,A,24,4,3,metadata_update
26,B,25,5,1,resize
27,C,26,3,2,thumbnail
28,D,27,6,3,compress
29,A,28,4,1,policy_check
30,B,29,5,2,metadata_update
31,C,30,4,3,resize
32,D,31,3,1,thumbnail
33,A,32,6,2,compress
34,B,33,4,3,policy_check
35,C,34,5,1,metadata_update
36,D,35,4,2,resize
37,A,36,3,3,thumbnail
38,B,37,6,1,compress
39,C,38,4,2,policy_check
40,D,39,5,3,metadata_update
41,A,40,4,1,resize
42,B,41,3,2,thumbnail
43,C,42,6,3,compress
44,D,43,4,1,policy_check
45,A,44,5,2,metadata_update
46,B,45,4,3,resize
47,C,46,3,1,thumbnail
48,D,47,6,2,compress
49,A,48,4,3,policy_check
50,B,49,5,1,metadata_update
