job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,A,0,2,3,metadata_update
2,D,0,1,1,metadata_update
3,C,1,1,2,policy_check
4,E,1,2,3,compress
5,C,1,2,3,policy_check
6,B,2,1,3,metadata_update
7,C,2,2,1,resize
8,A,2,2,1,metadata_update
9,E,3,2,1,resize
10,D,3,2,1,resize
11,B,3,2,3,thumbnail
12,D,4,1,2,policy_check
13,A,4,2,2,metadata_update
14,B,4,1,3,thumbnail
15,A,5,2,1,compress
16,E,5,1,1,resize
17,B,5,15,1,metadata_update
18,C,6,19,3,resize
19,B,6,1,3,policy_check
20,B,6,1,2,compress
