job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
2,B,0,6,3,metadata_update
3,C,0,6,3,metadata_update
4,D,0,6,3,metadata_update
5,A,0,6,3,metadata_update
6,B,0,6,3,metadata_update
7,C,2,4,1,policy_check
8,D,3,4,1,policy_check
9,A,4,4,1,policy_check
10,B,5,4,1,policy_check
11,C,6,4,1,policy_check
12,D,7,4,1,policy_check
13,A,8,4,1,policy_check
14,B,9,4,1,policy_check
15,C,10,4,1,policy_check
16,D,11,4,1,policy_check
17,A,12,4,1,policy_check
18,B,13,4,1,policy_check
19,C,14,4,1,policy_check
20,D,15,4,1,policy_check
